,Open,High,Low,Close,Volume
2026-02-02 13:50:00,1019.99,1021.99,1019.99,1021.99,0
2026-02-02 13:51:00,1021.99,1021.99,1018.0,1018.0,0
2026-02-02 13:52:00,1018.0,1018.0,1011.48,1011.48,0
2026-02-02 13:53:00,1011.48,1011.48,1011.0,1011.0,0
2026-02-02 13:54:00,1011.0,1016.0,1011.0,1016.0,0
2026-02-02 13:55:00,1016.0,1019.0,1016.0,1019.0,0
2026-02-02 13:56:00,1019.0,1020.0,1019.0,1020.0,0
2026-02-02 13:57:00,1020.0,1020.0,1020.0,1020.0,0
2026-02-02 13:58:00,1020.0,1025.0,1020.0,1025.0,0
2026-02-02 13:59:00,1025.0,1025.0,1023.0,1023.0,0
2026-02-02 14:00:00,1023.0,1026.0,1023.0,1026.0,0
2026-02-02 14:01:00,1026.0,1027.0,1026.0,1027.0,0
2026-02-02 14:02:00,1027.0,1027.0,1027.0,1027.0,0
2026-02-02 14:03:00,1027.0,1027.0,1025.0,1025.0,0
2026-02-02 14:04:00,1025.0,1025.0,1025.0,1025.0,0
2026-02-02 14:05:00,1025.0,1025.98,1025.0,1025.98,0
2026-02-02 14:06:00,1025.98,1025.98,1023.95,1023.95,0
2026-02-02 14:07:00,1023.95,1023.95,1023.0,1023.0,0
2026-02-02 14:08:00,1023.0,1023.0,1023.0,1023.0,0
2026-02-02 14:09:00,1023.0,1023.0,1022.99,1022.99,0
2026-02-02 14:10:00,1022.99,1024.1,1022.99,1024.1,0
2026-02-02 14:11:00,1024.1,1024.1,1024.1,1024.1,0
2026-02-02 14:12:00,1024.1,1024.1,1024.0,1024.0,0
2026-02-02 14:13:00,1024.0,1024.0,1019.99,1019.99,0
2026-02-02 14:14:00,1019.99,1019.99,1019.5,1019.5,0
2026-02-02 14:15:00,1019.5,1020.0,1019.5,1020.0,0
2026-02-02 14:16:00,1020.0,1020.0,1019.0,1019.0,0
2026-02-02 14:17:00,1019.0,1019.0,1017.0,1017.0,0
2026-02-02 14:18:00,1017.0,1017.0,1016.0,1016.0,0
2026-02-02 14:19:00,1016.0,1016.0,1016.0,1016.0,0
2026-02-02 14:20:00,1016.0,1016.0,1015.0,1015.0,0
2026-02-02 14:21:00,1015.0,1015.0,1009.9,1009.9,0
2026-02-02 14:22:00,1009.9,1009.9,1009.9,1009.9,0
2026-02-02 14:23:00,1009.9,1009.9,1006.0,1006.0,0
2026-02-02 14:24:00,1006.0,1008.0,1006.0,1008.0,0
2026-02-02 14:25:00,1008.0,1008.0,1005.5,1005.5,0
2026-02-02 14:26:00,1005.5,1005.5,1005.5,1005.5,0
2026-02-02 14:27:00,1005.5,1005.5,1004.98,1004.98,0
2026-02-02 14:28:00,1004.98,1005.0,1004.98,1005.0,0
2026-02-02 14:29:00,1005.0,1007.0,1005.0,1007.0,0
2026-02-02 14:30:00,1007.0,1010.0,1007.0,1010.0,0
2026-02-02 14:31:00,1010.0,1010.0,1009.99,1009.99,0
2026-02-02 14:32:00,1009.99,1009.99,1008.0,1008.0,0
2026-02-02 14:33:00,1008.0,1008.0,1008.0,1008.0,0
2026-02-02 14:34:00,1008.0,1008.0,1008.0,1008.0,0
2026-02-02 14:35:00,1008.0,1008.0,1006.8,1006.8,0
2026-02-02 14:36:00,1006.8,1006.8,1006.7,1006.7,0
2026-02-02 14:37:00,1006.7,1006.7,1003.5,1003.5,0
2026-02-02 14:38:00,1003.5,1003.5,1002.0,1002.0,0
2026-02-02 14:39:00,1002.0,1002.0,1000.0,1000.0,0
2026-02-02 14:40:00,1000.0,1000.0,1000.0,1000.0,0
2026-02-02 14:41:00,1000.0,1000.0,1000.0,1000.0,0
2026-02-02 14:42:00,1000.0,1006.48,1000.0,1006.48,0
2026-02-02 14:43:00,1006.48,1006.48,1003.5,1003.5,0
2026-02-02 14:44:00,1003.5,1005.88,1003.5,1005.88,0
2026-02-02 14:45:00,1005.88,1005.88,1005.88,1005.88,0
2026-02-02 14:46:00,1005.88,1005.88,1005.88,1005.88,0
2026-02-02 14:47:00,1005.88,1005.88,1005.88,1005.88,0
2026-02-02 14:48:00,1005.88,1005.88,1005.0,1005.0,0
2026-02-02 14:52:00,1005.0,1005.0,1005.0,1005.0,0
